Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |     99.81 |     99.78 |     99.79 |
Sentences  |     68.54 |     82.15 |     74.73 |
Words      |     99.81 |     99.63 |     99.72 |
UPOS       |     96.99 |     96.82 |     96.90 |     97.17
XPOS       |     85.42 |     85.27 |     85.35 |     85.59
UFeats     |     74.48 |     74.35 |     74.41 |     74.62
AllTags    |     69.13 |     69.00 |     69.06 |     69.26
Lemmas     |     95.14 |     94.97 |     95.06 |     95.32
UAS        |     84.29 |     84.14 |     84.22 |     84.45
LAS        |     79.11 |     78.98 |     79.04 |     79.27
CLAS       |     75.63 |     74.68 |     75.15 |     74.83
MLAS       |     48.72 |     48.11 |     48.42 |     48.21
BLEX       |     71.44 |     70.55 |     70.99 |     70.69
ELAS       |      0.00 |      0.00 |      0.00 |
EULAS      |      0.00 |      0.00 |      0.00 |
