Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |     99.81 |     99.89 |     99.85 |
Sentences  |     80.37 |     88.22 |     84.11 |
Words      |     99.84 |     99.73 |     99.79 |
UPOS       |     96.80 |     96.69 |     96.75 |     96.95
XPOS       |     78.24 |     78.15 |     78.19 |     78.36
UFeats     |     87.17 |     87.07 |     87.12 |     87.31
AllTags    |     71.34 |     71.26 |     71.30 |     71.46
Lemmas     |     94.11 |     94.00 |     94.06 |     94.26
UAS        |     84.62 |     84.53 |     84.57 |     84.76
LAS        |     79.45 |     79.36 |     79.40 |     79.57
CLAS       |     75.77 |     74.96 |     75.37 |     75.10
MLAS       |     61.26 |     60.61 |     60.93 |     60.72
BLEX       |     70.98 |     70.22 |     70.60 |     70.34
ELAS       |      0.00 |      0.00 |      0.00 |
EULAS      |      0.00 |      0.00 |      0.00 |
