#deprel	length	auto_count	gold_count
PreGenNmon	-13	1	0
PreGenNmon	-10	1	0
PreGenNmon	-8	1	0
PreGenNmon	-6	0	1
PreGenNmon	-4	2	0
PreGenNmon	-3	3	6
PreGenNmon	-2	5	10
PreGenNmon	-1	6	35
PreGenNmon	1	8	0
PreGenNmon	2	6	0
PreGenNmon	3	9	0
PreGenNmon	4	5	0
PreGenNmon	5	2	0
PreGenNmon	6	2	0
PreGenNmon	7	1	0
nmod	-13	1	0
nmod	-10	1	0
nmod	-8	2	1
nmod	-6	0	1
nmod	-4	2	1
nmod	-3	4	9
nmod	-2	8	11
nmod	-1	11	51
nmod	1	116	106
nmod	2	70	59
nmod	3	32	22
nmod	4	11	6
nmod	5	7	4
nmod	6	4	0
nmod	7	2	0
nmod	11	1	1
amod	-6	0	1
amod	-5	0	2
amod	-4	5	5
amod	-3	11	13
amod	-2	16	28
amod	-1	253	242
amod	1	118	115
amod	2	26	28
amod	3	8	5
amod	4	4	4
amod	6	1	2
amod	7	1	0
amod	8	1	0
amod	9	1	1
amod	10	1	1
amod	11	1	0
nsubj	-27	1	1
nsubj	-22	0	1
nsubj	-21	1	0
nsubj	-18	0	1
nsubj	-14	0	2
nsubj	-13	2	2
nsubj	-12	1	2
nsubj	-11	4	3
nsubj	-10	0	3
nsubj	-9	2	2
nsubj	-8	0	1
nsubj	-7	1	1
nsubj	-6	5	8
nsubj	-5	6	6
nsubj	-4	25	30
nsubj	-3	41	43
nsubj	-2	72	66
nsubj	-1	101	100
nsubj	1	71	53
nsubj	2	38	34
nsubj	3	17	12
nsubj	4	10	9
nsubj	5	1	2
nsubj	6	4	3
nsubj	7	2	1
nsubj	8	2	1
nsubj	9	0	1
nsubj	10	1	1
nsubj	11	1	0
nsubj	14	3	0
nsubj	25	1	0
obj	-24	0	1
obj	-12	1	1
obj	-11	1	1
obj	-9	0	1
obj	-8	1	1
obj	-7	1	1
obj	-6	1	1
obj	-5	4	9
obj	-4	9	9
obj	-3	16	17
obj	-2	22	21
obj	-1	57	58
obj	1	75	69
obj	2	33	32
obj	3	19	17
obj	4	9	12
obj	5	5	5
obj	6	6	4
obj	8	0	1
obj	9	1	0
obj	12	1	1
obj	16	0	1
obj	21	1	0
obl	-43	0	1
obl	-27	1	0
obl	-19	0	1
obl	-16	1	1
obl	-15	0	1
obl	-14	1	1
obl	-11	3	3
obl	-10	3	4
obl	-9	4	4
obl	-8	2	3
obl	-7	5	5
obl	-6	13	5
obl	-5	17	16
obl	-4	40	38
obl	-3	37	29
obl	-2	90	56
obl	-1	164	94
obl	1	109	34
obl	2	137	84
obl	3	78	61
obl	4	34	20
obl	5	17	18
obl	6	11	8
obl	7	4	5
obl	8	5	6
obl	9	0	3
obl	10	3	2
obl	11	1	1
obl	12	1	2
obl	13	2	0
obl	14	1	2
obl	17	0	1
obl:arg	-9	0	1
obl:arg	-7	1	1
obl:arg	-6	3	3
obl:arg	-5	2	3
obl:arg	-4	3	1
obl:arg	-3	8	8
obl:arg	-2	18	23
obl:arg	-1	36	35
obl:arg	1	31	32
obl:arg	2	17	16
obl:arg	3	7	6
obl:arg	4	4	3
obl:arg	5	1	1
