#auto.ord	auto.parent.ord	auto.deprel	gold.ord	gold.parent.ord	gold.deprel	parent_match	PreGenNmod
1	0	root	1	0	root	wrong	
2	3	case	2	3	case	correct	
3	1	conj	3	1	obl	correct	
4	1	conj	4	1	nsubj	correct	
5	3	punct	5	9	punct	wrong	
6	9	nsubj	6	9	nsubj	correct	
7	8	case	7	8	case	correct	
8	6	nmod	8	9	nmod	wrong	
9	3	orphan	9	1	parataxis	wrong	
10	11	punct	10	11	punct	correct	
11	3	orphan	11	1	parataxis	wrong	
12	11	nsubj	12	11	nsubj	correct	
13	11	obl:arg	13	11	expl:pv	correct	
14	18	punct	14	18	punct	correct	
15	18	cc	15	18	cc	correct	
16	18	nsubj	16	18	nsubj	correct	
17	18	obj	17	18	obj	correct	
18	1	conj	18	11	conj	wrong	
19	1	punct	19	1	punct	correct	
1	0	root	1	0	root	wrong	
2	1	nsubj	2	1	nsubj	correct	
3	1	obl:arg	3	1	expl:pv	correct	
4	5	case	4	5	case	correct	
5	1	obl	5	1	obl	correct	
6	7	amod	6	7	amod	correct	
7	5	nmod	7	5	nmod	correct	
8	9	punct	8	9	punct	correct	
9	1	conj	9	1	conj	correct	
10	9	expl:pv	10	9	expl:pv	correct	
11	12	punct	11	12	punct	correct	
12	1	conj	12	1	conj	correct	
13	12	xcomp	13	12	xcomp	correct	
14	15	case	14	17	case	wrong	
15	12	dep	15	17	amod	wrong	
16	17	advmod:emph	16	12	advmod:emph	wrong	
17	12	obj	17	12	obl	correct	
18	1	punct	18	1	punct	correct	
1	0	root	1	0	root	wrong	
2	4	case	2	4	case	correct	
3	4	det	3	4	det	correct	
4	1	obl:arg	4	1	obl:arg	correct	
5	6	punct	5	7	punct	wrong	
6	4	conj	6	7	nmod	wrong	
7	6	orphan	7	1	obl	wrong	
8	10	punct	8	10	punct	correct	
9	10	case	9	10	case	correct	
10	4	conj	10	1	obl	wrong	
11	1	punct	11	1	punct	correct	
1	0	root	1	4	cop	wrong	
2	1	cc	2	4	advmod:emph	wrong	
3	4	amod	3	4	amod	correct	
4	1	nsubj	4	0	root	wrong	
5	11	cc	5	7	cc	wrong	
6	11	cop	6	7	cop	wrong	
7	11	nsubj	7	4	conj	wrong	
8	7	nsubj	8	7	nsubj	correct	
9	10	case	9	10	case	correct	
10	11	obl	10	11	nmod	correct	
11	1	conj	11	7	obl	wrong	
12	14	punct	12	14	punct	correct	
13	14	cc	13	14	cc	correct	
14	1	conj	14	7	conj	wrong	
15	14	nmod	15	14	nmod	correct	
16	17	punct	16	17	punct	correct	
17	14	appos	17	14	appos	correct	
